Parent PID 12
Child PIDs 13 14 15 16 17

Jiffies 6122, PID 14, -> Ready (Preempted)
Jiffies 6122, PID 13, -> Running
Jiffies 6127, PID 13, -> Ready (Preempted)
Jiffies 6127, PID 17, -> Running
Jiffies 6132, PID 17, -> Ready (Preempted)
Jiffies 6132, PID 16, -> Running
Jiffies 6137, PID 16, -> Ready (Preempted)
Jiffies 6137, PID 15, -> Running
Jiffies 6142, PID 15, -> Ready (Preempted)
Jiffies 6142, PID 14, -> Running
Jiffies 6147, PID 14, -> Ready (Preempted)
Jiffies 6147, PID 13, -> Running
Jiffies 6152, PID 13, -> Ready (Preempted)
Jiffies 6152, PID 17, -> Running
Jiffies 6157, PID 17, -> Ready (Preempted)
Jiffies 6157, PID 16, -> Running
Jiffies 6162, PID 16, -> Ready (Preempted)
Jiffies 6162, PID 15, -> Running
Jiffies 6167, PID 15, -> Ready (Preempted)
Jiffies 6167, PID 14, -> Running
Jiffies 6172, PID 14, -> Ready (Preempted)
Jiffies 6172, PID 13, -> Running
Jiffies 6177, PID 13, -> Ready (Preempted)
Jiffies 6177, PID 17, -> Running
Jiffies 6182, PID 17, -> Ready (Preempted)
Jiffies 6182, PID 16, -> Running
Jiffies 6187, PID 16, -> Ready (Preempted)
Jiffies 6187, PID 15, -> Running
Jiffies 6192, PID 15, -> Ready (Preempted)
Jiffies 6192, PID 14, -> Running
Jiffies 6197, PID 14, -> Ready (Preempted)
Jiffies 6197, PID 13, -> Running
Jiffies 6202, PID 13, -> Ready (Preempted)
Jiffies 6202, PID 17, -> Running
Jiffies 6207, PID 17, -> Ready (Preempted)
Jiffies 6207, PID 16, -> Running
Jiffies 6212, PID 16, -> Ready (Preempted)
Jiffies 6212, PID 15, -> Running
Jiffies 6217, PID 15, -> Ready (Preempted)
Jiffies 6217, PID 14, -> Running
Jiffies 6222, PID 14, -> Ready (Preempted)
Jiffies 6222, PID 13, -> Running
Jiffies 6227, PID 13, -> Ready (Preempted)
Jiffies 6227, PID 17, -> Running
Jiffies 6232, PID 17, -> Ready (Preempted)
Jiffies 6232, PID 16, -> Running
Jiffies 6237, PID 16, -> Ready (Preempted)
Jiffies 6237, PID 15, -> Running
Jiffies 6242, PID 15, -> Ready (Preempted)
Jiffies 6242, PID 14, -> Running
Jiffies 6247, PID 14, -> Ready (Preempted)
Jiffies 6247, PID 13, -> Running
Jiffies 6252, PID 13, -> Ready (Preempted)
Jiffies 6252, PID 17, -> Running
Jiffies 6257, PID 17, -> Ready (Preempted)
Jiffies 6257, PID 16, -> Running
Jiffies 6262, PID 16, -> Ready (Preempted)
Jiffies 6262, PID 15, -> Running
